,nDCG_mean,nDCG_std,spearman_mean,spearman_std,mAP,AP_std,round_n
Round1,0.7474413870781547,0.040063881869137064,0.1692386382390537,0.06817896690826347,0.1284610670507337,0.007561361244819099,1
Round2,0.7883767462177759,0.051423874844664215,0.16942504229322009,0.028507732878621985,0.13513787047066753,0.014095268602943236,2
Round3,0.8173949381531646,0.056906077656722905,0.12661624078088815,0.10948119050165765,0.14368385386442536,0.007531664760543386,3
Round4,0.8471968840385192,0.03671356821995038,0.11170200962532618,0.1252027871508793,0.14715410457632658,0.010207468230285848,4
Round5,0.8579048695052155,0.03209659487875814,0.12350570726918725,0.1077377073424779,0.1502979303997138,0.010849070447873053,5
Round6,0.8667295130745624,0.02130198417238172,0.11963406484239893,0.12253793855349619,0.1551666177133781,0.014064365049729927,6
Round7,0.8724303841947895,0.01979997589341037,0.12238848542547441,0.118467917217171,0.16295079116345879,0.015029223817844752,7
Round8,0.8723707747197637,0.01951172061432362,0.1455182551649555,0.10459860154683268,0.1672682824073518,0.012784169354278183,8
Round9,0.8757698466080518,0.01674418702782658,0.15648068173734292,0.08783759384504007,0.1728841366559701,0.005593052191411512,9
Round10,0.8798241928053354,0.01327925138352943,0.13314764670753265,0.09131268103007437,0.17081829737883503,0.00694750951330072,10
