,nDCG_mean,nDCG_std,spearman_mean,spearman_std,mAP,AP_std,round_n
Round1,0.7461376580819903,0.055062500549206146,0.270315934383024,0.14176861681764563,0.16060611681239345,0.02682916643382793,1
Round2,0.814059851590783,0.014664790919675718,0.21938542927406326,0.046389613553966126,0.1664772664903654,0.013235480340392524,2
Round3,0.8558789600334107,0.018241133837722114,0.18155754149378547,0.04159706232875079,0.17270958836970932,0.013444819989452255,3
Round4,0.8766405912015861,0.01640167401603729,0.18483450314123262,0.06715260322754642,0.17369939807815923,0.01338096909799459,4
Round5,0.8899550812893281,0.015896185790780185,0.17895769455669583,0.05787722075008258,0.1743903662200331,0.008918022497497707,5
Round6,0.8933008638320542,0.014719001508408018,0.18339562864919487,0.06691249998838143,0.17780553148248165,0.013240329940648412,6
Round7,0.8963440894821844,0.015885903929522077,0.20213868439021135,0.06376774678092614,0.18430374765896596,0.011005135017445244,7
Round8,0.8968815643356769,0.015635121900653942,0.21295009281205826,0.03303355402683573,0.18832862005151776,0.005659162828333283,8
Round9,0.8988306676524331,0.018237144923390288,0.22968885851105483,0.029694651392702807,0.19972131812195956,0.01321296161326883,9
Round10,0.9004021136548523,0.018675479680506674,0.23108264737411613,0.030136101301055235,0.20329140544891766,0.015890561264215463,10
